Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
0	 	-5	 	-5	 	-3.142	 	0	 	2	 	 	-11.27
1	 	-5	 	-5	 	-3.142	 	1	 	2	 	 	-12.01
2	 	-5	 	-5	 	-3.142	 	2	 	2	 	 	8.041
3	 	-5	 	-5	 	-2.356	 	0	 	2	 	 	-11.45
4	 	-5	 	-5	 	-2.356	 	1	 	2	 	 	-5.169
5	 	-5	 	-5	 	-2.356	 	2	 	2	 	 	18.2
6	 	-5	 	-5	 	-1.571	 	0	 	2	 	 	-11.15
7	 	-5	 	-5	 	-1.571	 	1	 	2	 	 	-4.563
8	 	-5	 	-5	 	-1.571	 	2	 	2	 	 	25.48
9	 	-5	 	-5	 	-0.7854	 	0	 	2	 	 	-10.14
10	 	-5	 	-5	 	-0.7854	 	1	 	2	 	 	-3.783
11	 	-5	 	-5	 	-0.7854	 	2	 	2	 	 	31.96
12	 	-5	 	-5	 	0	 	0	 	2	 	 	-3.024
13	 	-5	 	-5	 	0	 	1	 	2	 	 	-3
14	 	-5	 	-5	 	0	 	2	 	2	 	 	36.06
15	 	-5	 	-5	 	0.7854	 	0	 	0	 	 	38.56
16	 	-5	 	-5	 	0.7854	 	1	 	0	 	 	-2.436
17	 	-5	 	-5	 	0.7854	 	2	 	0	 	 	-2.45
18	 	-5	 	-5	 	1.571	 	0	 	1	 	 	-2.719
19	 	-5	 	-5	 	1.571	 	1	 	1	 	 	34.42
20	 	-5	 	-5	 	1.571	 	2	 	1	 	 	-2.832
21	 	-5	 	-5	 	2.356	 	0	 	1	 	 	-6.533
22	 	-5	 	-5	 	2.356	 	1	 	1	 	 	27.84
23	 	-5	 	-5	 	2.356	 	2	 	1	 	 	-3.303
24	 	-5	 	-5	 	3.142	 	0	 	1	 	 	-4.462
25	 	-5	 	-5	 	3.142	 	1	 	1	 	 	17.37
26	 	-5	 	-5	 	3.142	 	2	 	1	 	 	-4.851
27	 	-5	 	-4	 	-3.142	 	0	 	2	 	 	-7.655
28	 	-5	 	-4	 	-3.142	 	1	 	2	 	 	-8.056
29	 	-5	 	-4	 	-3.142	 	2	 	2	 	 	13.59
30	 	-5	 	-4	 	-2.356	 	0	 	2	 	 	-9.669
31	 	-5	 	-4	 	-2.356	 	1	 	2	 	 	-4.13
32	 	-5	 	-4	 	-2.356	 	2	 	2	 	 	24.84
33	 	-5	 	-4	 	-1.571	 	0	 	2	 	 	-3.521
34	 	-5	 	-4	 	-1.571	 	1	 	2	 	 	-3.53
35	 	-5	 	-4	 	-1.571	 	2	 	2	 	 	31.97
36	 	-5	 	-4	 	-0.7854	 	0	 	2	 	 	-2.812
37	 	-5	 	-4	 	-0.7854	 	1	 	2	 	 	-2.877
38	 	-5	 	-4	 	-0.7854	 	2	 	2	 	 	37.16
39	 	-5	 	-4	 	0	 	0	 	0	 	 	40.52
40	 	-5	 	-4	 	0	 	1	 	0	 	 	-2.322
41	 	-5	 	-4	 	0	 	2	 	0	 	 	-2.273
42	 	-5	 	-4	 	0.7854	 	0	 	1	 	 	-2.431
43	 	-5	 	-4	 	0.7854	 	1	 	1	 	 	37.72
44	 	-5	 	-4	 	0.7854	 	2	 	1	 	 	-2.46
45	 	-5	 	-4	 	1.571	 	0	 	1	 	 	-2.988
46	 	-5	 	-4	 	1.571	 	1	 	1	 	 	33.6
47	 	-5	 	-4	 	1.571	 	2	 	1	 	 	-2.996
48	 	-5	 	-4	 	2.356	 	0	 	1	 	 	-4.91
49	 	-5	 	-4	 	2.356	 	1	 	1	 	 	26.81
50	 	-5	 	-4	 	2.356	 	2	 	1	 	 	-3.687
51	 	-5	 	-4	 	3.142	 	0	 	1	 	 	-4.99
52	 	-5	 	-4	 	3.142	 	1	 	1	 	 	16.07
53	 	-5	 	-4	 	3.142	 	2	 	1	 	 	-4.911
54	 	-5	 	-3	 	-3.142	 	0	 	2	 	 	-6.975
55	 	-5	 	-3	 	-3.142	 	1	 	2	 	 	-5.65
56	 	-5	 	-3	 	-3.142	 	2	 	2	 	 	13.01
57	 	-5	 	-3	 	-2.356	 	0	 	2	 	 	-4.845
58	 	-5	 	-3	 	-2.356	 	1	 	2	 	 	-3.945
59	 	-5	 	-3	 	-2.356	 	2	 	2	 	 	22.73
60	 	-5	 	-3	 	-1.571	 	0	 	2	 	 	-3.388
61	 	-5	 	-3	 	-1.571	 	1	 	2	 	 	-3.418
62	 	-5	 	-3	 	-1.571	 	2	 	2	 	 	31.76
63	 	-5	 	-3	 	-0.7854	 	0	 	0	 	 	37.32
64	 	-5	 	-3	 	-0.7854	 	1	 	0	 	 	-2.709
65	 	-5	 	-3	 	-0.7854	 	2	 	0	 	 	-2.756
66	 	-5	 	-3	 	0	 	0	 	1	 	 	-2.709
67	 	-5	 	-3	 	0	 	1	 	1	 	 	25.91
68	 	-5	 	-3	 	0	 	2	 	1	 	 	-2.778
69	 	-5	 	-3	 	0.7854	 	0	 	0	 	 	31.81
70	 	-5	 	-3	 	0.7854	 	1	 	0	 	 	-2.897
71	 	-5	 	-3	 	0.7854	 	2	 	0	 	 	-2.971
72	 	-5	 	-3	 	1.571	 	0	 	1	 	 	-3.494
73	 	-5	 	-3	 	1.571	 	1	 	1	 	 	28.2
74	 	-5	 	-3	 	1.571	 	2	 	1	 	 	-3.524
