Gamma     = 0.99 , alpha    = 0.1 , episodes            = 30000
n actions = 3    , n states = 504 , n state action pair = 1512

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
0	 	-6.5	 	0.5	 	-3.142	 	0	 	2	 	 	-1
1	 	-6.5	 	0.5	 	-3.142	 	1	 	2	 	 	-1
2	 	-6.5	 	0.5	 	-3.142	 	2	 	2	 	 	53.21
3	 	-6.5	 	0.5	 	-2.356	 	0	 	1	 	 	-1
4	 	-6.5	 	0.5	 	-2.356	 	1	 	1	 	 	57.41
5	 	-6.5	 	0.5	 	-2.356	 	2	 	1	 	 	0
6	 	-6.5	 	0.5	 	-1.571	 	0	 	1	 	 	-1
7	 	-6.5	 	0.5	 	-1.571	 	1	 	1	 	 	60.4
8	 	-6.5	 	0.5	 	-1.571	 	2	 	1	 	 	0
9	 	-6.5	 	0.5	 	-0.7854	 	0	 	1	 	 	-1
10	 	-6.5	 	0.5	 	-0.7854	 	1	 	1	 	 	58.75
11	 	-6.5	 	0.5	 	-0.7854	 	2	 	1	 	 	0
12	 	-6.5	 	0.5	 	0	 	0	 	1	 	 	-0.1099
13	 	-6.5	 	0.5	 	0	 	1	 	1	 	 	56.59
14	 	-6.5	 	0.5	 	0	 	2	 	1	 	 	0
15	 	-6.5	 	0.5	 	0.7854	 	0	 	1	 	 	-0.1
16	 	-6.5	 	0.5	 	0.7854	 	1	 	1	 	 	55.64
17	 	-6.5	 	0.5	 	0.7854	 	2	 	1	 	 	0
18	 	-6.5	 	0.5	 	1.571	 	0	 	1	 	 	-0.1302
19	 	-6.5	 	0.5	 	1.571	 	1	 	1	 	 	52.79
20	 	-6.5	 	0.5	 	1.571	 	2	 	1	 	 	0
21	 	-6.5	 	0.5	 	2.356	 	0	 	1	 	 	-1
22	 	-6.5	 	0.5	 	2.356	 	1	 	1	 	 	53.39
23	 	-6.5	 	0.5	 	2.356	 	2	 	1	 	 	0
24	 	-6.5	 	0.5	 	3.142	 	0	 	1	 	 	-1
25	 	-6.5	 	0.5	 	3.142	 	1	 	1	 	 	56.05
26	 	-6.5	 	0.5	 	3.142	 	2	 	1	 	 	0
27	 	-6.5	 	1	 	-3.142	 	0	 	2	 	 	-2.729
28	 	-6.5	 	1	 	-3.142	 	1	 	2	 	 	-1
29	 	-6.5	 	1	 	-3.142	 	2	 	2	 	 	52.67
30	 	-6.5	 	1	 	-2.356	 	0	 	2	 	 	-1
31	 	-6.5	 	1	 	-2.356	 	1	 	2	 	 	-0.1999
32	 	-6.5	 	1	 	-2.356	 	2	 	2	 	 	64.73
33	 	-6.5	 	1	 	-1.571	 	0	 	0	 	 	69.8
34	 	-6.5	 	1	 	-1.571	 	1	 	0	 	 	-0.2294
35	 	-6.5	 	1	 	-1.571	 	2	 	0	 	 	-0.1
36	 	-6.5	 	1	 	-0.7854	 	0	 	1	 	 	-0.1
37	 	-6.5	 	1	 	-0.7854	 	1	 	1	 	 	62.39
38	 	-6.5	 	1	 	-0.7854	 	2	 	1	 	 	0
39	 	-6.5	 	1	 	0	 	0	 	1	 	 	-0.1099
40	 	-6.5	 	1	 	0	 	1	 	1	 	 	55.69
41	 	-6.5	 	1	 	0	 	2	 	1	 	 	-0.1123
42	 	-6.5	 	1	 	0.7854	 	0	 	1	 	 	-0.3428
43	 	-6.5	 	1	 	0.7854	 	1	 	1	 	 	43.51
44	 	-6.5	 	1	 	0.7854	 	2	 	1	 	 	-0.3862
45	 	-6.5	 	1	 	1.571	 	0	 	0	 	 	48.83
46	 	-6.5	 	1	 	1.571	 	1	 	0	 	 	-0.7683
47	 	-6.5	 	1	 	1.571	 	2	 	0	 	 	-0.7795
48	 	-6.5	 	1	 	2.356	 	0	 	1	 	 	-1.999
49	 	-6.5	 	1	 	2.356	 	1	 	1	 	 	42.94
50	 	-6.5	 	1	 	2.356	 	2	 	1	 	 	-1.419
51	 	-6.5	 	1	 	3.142	 	0	 	1	 	 	-1.999
52	 	-6.5	 	1	 	3.142	 	1	 	1	 	 	33.42
53	 	-6.5	 	1	 	3.142	 	2	 	1	 	 	-1.999
54	 	-6.5	 	1.5	 	-3.142	 	0	 	2	 	 	-2.772
55	 	-6.5	 	1.5	 	-3.142	 	1	 	2	 	 	-1
56	 	-6.5	 	1.5	 	-3.142	 	2	 	2	 	 	49.92
57	 	-6.5	 	1.5	 	-2.356	 	0	 	2	 	 	-1
58	 	-6.5	 	1.5	 	-2.356	 	1	 	2	 	 	-0.4057
59	 	-6.5	 	1.5	 	-2.356	 	2	 	2	 	 	66.29
60	 	-6.5	 	1.5	 	-1.571	 	0	 	0	 	 	68.08
61	 	-6.5	 	1.5	 	-1.571	 	1	 	0	 	 	-0.371
62	 	-6.5	 	1.5	 	-1.571	 	2	 	0	 	 	-0.1
63	 	-6.5	 	1.5	 	-0.7854	 	0	 	1	 	 	-0.1
64	 	-6.5	 	1.5	 	-0.7854	 	1	 	1	 	 	64.08
65	 	-6.5	 	1.5	 	-0.7854	 	2	 	1	 	 	-0.1
66	 	-6.5	 	1.5	 	0	 	0	 	1	 	 	-0.2098
67	 	-6.5	 	1.5	 	0	 	1	 	1	 	 	60.81
68	 	-6.5	 	1.5	 	0	 	2	 	1	 	 	-0.2333
69	 	-6.5	 	1.5	 	0.7854	 	0	 	1	 	 	-0.5548
70	 	-6.5	 	1.5	 	0.7854	 	1	 	1	 	 	57.86
71	 	-6.5	 	1.5	 	0.7854	 	2	 	1	 	 	-0.622
72	 	-6.5	 	1.5	 	1.571	 	0	 	1	 	 	-1.229
73	 	-6.5	 	1.5	 	1.571	 	1	 	1	 	 	54.96
74	 	-6.5	 	1.5	 	1.571	 	2	 	1	 	 	-1.259
75	 	-6.5	 	1.5	 	2.356	 	0	 	1	 	 	-1.999
76	 	-6.5	 	1.5	 	2.356	 	1	 	1	 	 	50.64
77	 	-6.5	 	1.5	 	2.356	 	2	 	1	 	 	-1.798
78	 	-6.5	 	1.5	 	3.142	 	0	 	1	 	 	-2.997
79	 	-6.5	 	1.5	 	3.142	 	1	 	1	 	 	38.56
80	 	-6.5	 	1.5	 	3.142	 	2	 	1	 	 	-2.997
81	 	-6.5	 	2	 	-3.142	 	0	 	2	 	 	-2.729
82	 	-6.5	 	2	 	-3.142	 	1	 	2	 	 	-1
83	 	-6.5	 	2	 	-3.142	 	2	 	2	 	 	48.1
84	 	-6.5	 	2	 	-2.356	 	0	 	2	 	 	-1.966
85	 	-6.5	 	2	 	-2.356	 	1	 	2	 	 	-0.761
86	 	-6.5	 	2	 	-2.356	 	2	 	2	 	 	62.53
87	 	-6.5	 	2	 	-1.571	 	0	 	0	 	 	65.78
88	 	-6.5	 	2	 	-1.571	 	1	 	0	 	 	-0.3315
89	 	-6.5	 	2	 	-1.571	 	2	 	0	 	 	-0.3627
90	 	-6.5	 	2	 	-0.7854	 	0	 	1	 	 	-0.271
91	 	-6.5	 	2	 	-0.7854	 	1	 	1	 	 	62.86
92	 	-6.5	 	2	 	-0.7854	 	2	 	1	 	 	-0.19
93	 	-6.5	 	2	 	0	 	0	 	1	 	 	-0.3214
94	 	-6.5	 	2	 	0	 	1	 	1	 	 	60
95	 	-6.5	 	2	 	0	 	2	 	1	 	 	-0.3402
96	 	-6.5	 	2	 	0.7854	 	0	 	1	 	 	-0.7766
97	 	-6.5	 	2	 	0.7854	 	1	 	1	 	 	57.04
98	 	-6.5	 	2	 	0.7854	 	2	 	1	 	 	-0.788
99	 	-6.5	 	2	 	1.571	 	0	 	1	 	 	-1.446
100	 	-6.5	 	2	 	1.571	 	1	 	1	 	 	54.17
101	 	-6.5	 	2	 	1.571	 	2	 	1	 	 	-1.462
102	 	-6.5	 	2	 	2.356	 	0	 	1	 	 	-4.686
103	 	-6.5	 	2	 	2.356	 	1	 	1	 	 	50.87
104	 	-6.5	 	2	 	2.356	 	2	 	1	 	 	-2.143
105	 	-6.5	 	2	 	3.142	 	0	 	1	 	 	-2.997
106	 	-6.5	 	2	 	3.142	 	1	 	1	 	 	35.73
107	 	-6.5	 	2	 	3.142	 	2	 	1	 	 	-2.997
108	 	-6.5	 	2.5	 	-3.142	 	0	 	2	 	 	-1.999
109	 	-6.5	 	2.5	 	-3.142	 	1	 	2	 	 	-1.999
110	 	-6.5	 	2.5	 	-3.142	 	2	 	2	 	 	53.05
111	 	-6.5	 	2.5	 	-2.356	 	0	 	2	 	 	-1.999
112	 	-6.5	 	2.5	 	-2.356	 	1	 	2	 	 	-1.176
113	 	-6.5	 	2.5	 	-2.356	 	2	 	2	 	 	60.97
114	 	-6.5	 	2.5	 	-1.571	 	0	 	0	 	 	63.52
115	 	-6.5	 	2.5	 	-1.571	 	1	 	0	 	 	-0.7118
116	 	-6.5	 	2.5	 	-1.571	 	2	 	0	 	 	-0.6298
117	 	-6.5	 	2.5	 	-0.7854	 	0	 	1	 	 	-0.4715
118	 	-6.5	 	2.5	 	-0.7854	 	1	 	1	 	 	60.85
