Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
0	 	-1.5	 	-1.5	 	-3.142	 	0	 	2	 	 	-6.75
1	 	-1.5	 	-1.5	 	-3.142	 	1	 	2	 	 	-5.914
2	 	-1.5	 	-1.5	 	-3.142	 	2	 	2	 	 	-5.845
3	 	-1.5	 	-1.5	 	-2.356	 	0	 	2	 	 	-7.141
4	 	-1.5	 	-1.5	 	-2.356	 	1	 	2	 	 	-5.011
5	 	-1.5	 	-1.5	 	-2.356	 	2	 	2	 	 	-4.901
6	 	-1.5	 	-1.5	 	-1.571	 	0	 	2	 	 	-4.591
7	 	-1.5	 	-1.5	 	-1.571	 	1	 	2	 	 	-4.099
8	 	-1.5	 	-1.5	 	-1.571	 	2	 	2	 	 	-3.94
9	 	-1.5	 	-1.5	 	-0.7854	 	0	 	2	 	 	-3.92
10	 	-1.5	 	-1.5	 	-0.7854	 	1	 	2	 	 	-3.044
11	 	-1.5	 	-1.5	 	-0.7854	 	2	 	2	 	 	-2.97
12	 	-1.5	 	-1.5	 	0	 	0	 	2	 	 	-2.114
13	 	-1.5	 	-1.5	 	0	 	1	 	2	 	 	-2.13
14	 	-1.5	 	-1.5	 	0	 	2	 	2	 	 	-1.99
15	 	-1.5	 	-1.5	 	0.7854	 	0	 	0	 	 	-1
16	 	-1.5	 	-1.5	 	0.7854	 	1	 	0	 	 	-1.119
17	 	-1.5	 	-1.5	 	0.7854	 	2	 	0	 	 	-1.114
18	 	-1.5	 	-1.5	 	1.571	 	0	 	0	 	 	43.77
19	 	-1.5	 	-1.5	 	1.571	 	1	 	0	 	 	-1.938
20	 	-1.5	 	-1.5	 	1.571	 	2	 	0	 	 	-2.106
21	 	-1.5	 	-1.5	 	2.356	 	0	 	1	 	 	-2.997
22	 	-1.5	 	-1.5	 	2.356	 	1	 	1	 	 	37.65
23	 	-1.5	 	-1.5	 	2.356	 	2	 	1	 	 	-2.79
24	 	-1.5	 	-1.5	 	3.142	 	0	 	1	 	 	-3.915
25	 	-1.5	 	-1.5	 	3.142	 	1	 	1	 	 	27.87
26	 	-1.5	 	-1.5	 	3.142	 	2	 	1	 	 	-3.915
27	 	-1.5	 	-1	 	-3.142	 	0	 	2	 	 	-4.732
28	 	-1.5	 	-1	 	-3.142	 	1	 	2	 	 	-4.704
29	 	-1.5	 	-1	 	-3.142	 	2	 	2	 	 	22.26
30	 	-1.5	 	-1	 	-2.356	 	0	 	2	 	 	-3.905
31	 	-1.5	 	-1	 	-2.356	 	1	 	2	 	 	-3.63
32	 	-1.5	 	-1	 	-2.356	 	2	 	2	 	 	32.84
33	 	-1.5	 	-1	 	-1.571	 	0	 	2	 	 	-2.819
34	 	-1.5	 	-1	 	-1.571	 	1	 	2	 	 	-2.867
35	 	-1.5	 	-1	 	-1.571	 	2	 	2	 	 	39.13
36	 	-1.5	 	-1	 	-0.7854	 	0	 	2	 	 	-2.043
37	 	-1.5	 	-1	 	-0.7854	 	1	 	2	 	 	-1.933
38	 	-1.5	 	-1	 	-0.7854	 	2	 	2	 	 	44.57
39	 	-1.5	 	-1	 	0	 	0	 	2	 	 	-0.9958
40	 	-1.5	 	-1	 	0	 	1	 	2	 	 	-1.068
41	 	-1.5	 	-1	 	0	 	2	 	2	 	 	48.67
42	 	-1.5	 	-1	 	0.7854	 	0	 	0	 	 	52.76
43	 	-1.5	 	-1	 	0.7854	 	1	 	0	 	 	-1.43
44	 	-1.5	 	-1	 	0.7854	 	2	 	0	 	 	-1.484
45	 	-1.5	 	-1	 	1.571	 	0	 	1	 	 	-2.07
