Gamma     = 0.99 , alpha    = 0.1 , episodes            = 500
n actions = 4    , n states = 605 , n state action pair = 2420

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
0	 	-5	 	-5	 	0	 	0	 	0	 	 	-0.3744
1	 	-5	 	-5	 	0	 	1	 	0	 	 	-1
2	 	-5	 	-5	 	0	 	2	 	0	 	 	-1
3	 	-5	 	-5	 	0	 	3	 	0	 	 	-0.4138
4	 	-5	 	-5	 	1.571	 	0	 	2	 	 	-0.4797
5	 	-5	 	-5	 	1.571	 	1	 	2	 	 	-1
6	 	-5	 	-5	 	1.571	 	2	 	2	 	 	-0.3968
7	 	-5	 	-5	 	1.571	 	3	 	2	 	 	-0.4643
8	 	-5	 	-5	 	3.142	 	0	 	1	 	 	-1
9	 	-5	 	-5	 	3.142	 	1	 	1	 	 	-0.3834
10	 	-5	 	-5	 	3.142	 	2	 	1	 	 	-0.4322
11	 	-5	 	-5	 	3.142	 	3	 	1	 	 	-0.5783
12	 	-5	 	-5	 	4.712	 	0	 	3	 	 	-4.273
13	 	-5	 	-5	 	4.712	 	1	 	3	 	 	-2.606
14	 	-5	 	-5	 	4.712	 	2	 	3	 	 	-4.313
15	 	-5	 	-5	 	4.712	 	3	 	3	 	 	-2.596
16	 	-5	 	-5	 	6.283	 	0	 	0	 	 	-2.503
17	 	-5	 	-5	 	6.283	 	1	 	0	 	 	-3.564
18	 	-5	 	-5	 	6.283	 	2	 	0	 	 	-2.579
19	 	-5	 	-5	 	6.283	 	3	 	0	 	 	-2.925
20	 	-5	 	-4	 	0	 	0	 	0	 	 	-0.3994
21	 	-5	 	-4	 	0	 	1	 	0	 	 	-1
22	 	-5	 	-4	 	0	 	2	 	0	 	 	-1
23	 	-5	 	-4	 	0	 	3	 	0	 	 	-0.4146
24	 	-5	 	-4	 	1.571	 	0	 	1	 	 	-0.4092
25	 	-5	 	-4	 	1.571	 	1	 	1	 	 	-0.3913
26	 	-5	 	-4	 	1.571	 	2	 	1	 	 	-0.401
27	 	-5	 	-4	 	1.571	 	3	 	1	 	 	-0.4606
28	 	-5	 	-4	 	3.142	 	0	 	1	 	 	-1
29	 	-5	 	-4	 	3.142	 	1	 	1	 	 	-0.2997
30	 	-5	 	-4	 	3.142	 	2	 	1	 	 	-0.3176
31	 	-5	 	-4	 	3.142	 	3	 	1	 	 	-0.5574
32	 	-5	 	-4	 	4.712	 	0	 	0	 	 	-2.502
33	 	-5	 	-4	 	4.712	 	1	 	0	 	 	-2.58
34	 	-5	 	-4	 	4.712	 	2	 	0	 	 	-7.411
35	 	-5	 	-4	 	4.712	 	3	 	0	 	 	-2.559
36	 	-5	 	-4	 	6.283	 	0	 	0	 	 	-2.483
37	 	-5	 	-4	 	6.283	 	1	 	0	 	 	-5.368
38	 	-5	 	-4	 	6.283	 	2	 	0	 	 	-2.572
39	 	-5	 	-4	 	6.283	 	3	 	0	 	 	-3.523
40	 	-5	 	-3	 	0	 	0	 	0	 	 	-0.5643
41	 	-5	 	-3	 	0	 	1	 	0	 	 	-1
42	 	-5	 	-3	 	0	 	2	 	0	 	 	-1
43	 	-5	 	-3	 	0	 	3	 	0	 	 	-0.5652
44	 	-5	 	-3	 	1.571	 	0	 	0	 	 	-0.4003
45	 	-5	 	-3	 	1.571	 	1	 	0	 	 	-0.4714
46	 	-5	 	-3	 	1.571	 	2	 	0	 	 	-0.44
47	 	-5	 	-3	 	1.571	 	3	 	0	 	 	-0.4574
48	 	-5	 	-3	 	3.142	 	0	 	2	 	 	-1
49	 	-5	 	-3	 	3.142	 	1	 	2	 	 	-0.3904
50	 	-5	 	-3	 	3.142	 	2	 	2	 	 	-0.3184
51	 	-5	 	-3	 	3.142	 	3	 	2	 	 	-0.5238
52	 	-5	 	-3	 	4.712	 	0	 	3	 	 	-2.373
53	 	-5	 	-3	 	4.712	 	1	 	3	 	 	-2.397
54	 	-5	 	-3	 	4.712	 	2	 	3	 	 	-6.068
55	 	-5	 	-3	 	4.712	 	3	 	3	 	 	-2.347
56	 	-5	 	-3	 	6.283	 	0	 	2	 	 	-2.263
57	 	-5	 	-3	 	6.283	 	1	 	2	 	 	-4.257
58	 	-5	 	-3	 	6.283	 	2	 	2	 	 	-2.225
59	 	-5	 	-3	 	6.283	 	3	 	2	 	 	-2.908
60	 	-5	 	-2	 	0	 	0	 	0	 	 	-0.5636
61	 	-5	 	-2	 	0	 	1	 	0	 	 	-1
62	 	-5	 	-2	 	0	 	2	 	0	 	 	-3.449
63	 	-5	 	-2	 	0	 	3	 	0	 	 	-0.5731
64	 	-5	 	-2	 	1.571	 	0	 	2	 	 	-0.4722
65	 	-5	 	-2	 	1.571	 	1	 	2	 	 	-0.4802
66	 	-5	 	-2	 	1.571	 	2	 	2	 	 	-0.4325
67	 	-5	 	-2	 	1.571	 	3	 	2	 	 	-0.4554
68	 	-5	 	-2	 	3.142	 	0	 	1	 	 	-1
69	 	-5	 	-2	 	3.142	 	1	 	1	 	 	-0.2898
70	 	-5	 	-2	 	3.142	 	2	 	1	 	 	-0.3183
71	 	-5	 	-2	 	3.142	 	3	 	1	 	 	-0.4724
72	 	-5	 	-2	 	4.712	 	0	 	1	 	 	-2.198
73	 	-5	 	-2	 	4.712	 	1	 	1	 	 	-2.189
74	 	-5	 	-2	 	4.712	 	2	 	1	 	 	-3.485
75	 	-5	 	-2	 	4.712	 	3	 	1	 	 	-2.196
76	 	-5	 	-2	 	6.283	 	0	 	0	 	 	-2.047
77	 	-5	 	-2	 	6.283	 	1	 	0	 	 	-4.242
78	 	-5	 	-2	 	6.283	 	2	 	0	 	 	-2.085
79	 	-5	 	-2	 	6.283	 	3	 	0	 	 	-5.3
80	 	-5	 	-1	 	0	 	0	 	0	 	 	-0.4786
81	 	-5	 	-1	 	0	 	1	 	0	 	 	-1
82	 	-5	 	-1	 	0	 	2	 	0	 	 	-1
83	 	-5	 	-1	 	0	 	3	 	0	 	 	-0.488
84	 	-5	 	-1	 	1.571	 	0	 	2	 	 	-0.465
85	 	-5	 	-1	 	1.571	 	1	 	2	 	 	-0.4057
86	 	-5	 	-1	 	1.571	 	2	 	2	 	 	-0.4002
87	 	-5	 	-1	 	1.571	 	3	 	2	 	 	-0.4776
88	 	-5	 	-1	 	3.142	 	0	 	2	 	 	-2.72
89	 	-5	 	-1	 	3.142	 	1	 	2	 	 	-0.3833
90	 	-5	 	-1	 	3.142	 	2	 	2	 	 	-0.3175
